The No.,O-The B-UH-No O-.
The nation's No.,O-The O-nation O-' X-s B-UH-No O-.
CBS held the previous record for consecutive No.,O-CBS O-held O-the O-previous O-record O-for O-consecutive B-UH-No O-.
"""Sometimes, with the release of stress, you hear `oohs' and `ahs' coming out of the room,"" explains Morgan Banks, the agency's health specialist.","O-"" O-Sometimes O-, O-with O-the O-release O-of O-stress O-, O-you O-hear O-` O-o X-##oh X-##s X-' O-and O-` B-UH-ah X-##s X-' O-coming O-out O-of O-the O-room O-, X-"" O-explains O-Morgan O-Banks O-, O-the O-agency O-' X-s O-health O-specialist O-."
"""And you can't have taxpayers coming into an audit hearing `oohs' and `ahs. '""","O-"" O-And O-you O-ca O-n X-' X-t O-have O-tax X-##payers O-coming O-into O-an O-audit O-hearing O-` B-UH-o X-##oh X-##s X-' O-and O-` B-UH-ah X-##s O-. O-' X-"""
"(""Will the Real Jim Please Stand Up?""","O-( X-"" O-Will O-the O-Real O-Jim B-UH-Please O-Stand O-Up O-? O-"""
Being the No.,O-Being O-the B-UH-No O-.
"The Dallas Morning News, the No.","O-The O-Dallas O-Morning O-News O-, O-the B-UH-No O-."
Showtime is a distant No.,O-Showtime O-is O-a O-distant B-UH-No O-.
"Mr. Paul says, yes, the ceiling in his executive suite is gold-leaf inlay.","O-Mr X-. O-Paul O-says O-, B-UH-yes O-, O-the O-ceiling O-in O-his O-executive O-suite O-is O-gold X-- X-leaf O-in X-##lay O-."
"Yes, they have higher down-payment requirements.","B-UH-Yes O-, O-they O-have O-higher O-down X-- X-payment O-requirements O-."
"Mr. Siegel asked Mr. Freeman who his source was and, on hearing that it was Bunny Lasker, responded: ""Well, your bunny has a good nose.""","O-Mr X-. O-Siege X-##l O-asked O-Mr X-. O-Freeman O-who O-his O-source O-was O-and O-, O-on O-hearing O-that O-it O-was O-Bunny O-Las X-##ker O-, O-responded O-: O-"" B-UH-Well O-, O-your O-b X-##un X-##ny O-has O-a O-good O-nose O-. O-"""
"If, for example, in the midst of a great social occasion (such as an international conference on revising the Versailles Treaty in 1923), one's 72-yearold father, himself a great butler once, should happen to die of a stroke, one must continue to serve the port: ""Please don't think me unduly improper in not ascending to see my father in his deceased condition just at this moment.","O-If O-, O-for O-example O-, O-in O-the O-midst O-of O-a O-great O-social O-occasion O-( O-such O-as O-an O-international O-conference O-on O-re X-##vis X-##ing O-the O-Versailles O-Treaty O-in O-1923 O-) O-, O-one O-' X-s O-72 X-- X-year X-##old O-father O-, O-himself O-a O-great O-butler O-once O-, O-should O-happen O-to O-die O-of O-a O-stroke O-, O-one O-must O-continue O-to O-serve O-the O-port O-: O-"" B-UH-Please O-do O-n X-' X-t O-think O-me O-und X-##ul X-##y O-imp X-##roper O-in O-not O-ascending O-to O-see O-my O-father O-in O-his O-deceased O-condition O-just O-at O-this O-moment O-."
"Daniel von Bargen is ramrod-stiff but totally assured as Major Battle, mixing just the right brand of self-righteousness and patriotism; Jeff Weiss is fire, brimstone and teary-eyed emotionalism as the far-right senator who serves as a friendly interrogator of Major Battle; Zach Grenier is maddeningly officious playing a succession of lawyers; Joseph Daly has the perfect ""aw, shucks"" demeanor of George Bush in his portrayal of the vice president; and Ann McDonough is first-rate as a succession of witnesses' wives.","O-Daniel O-von O-Bar X-##gen O-is O-ram X-##rod X-- X-stiff O-but O-totally O-assured O-as O-Major O-Battle O-, O-mixing O-just O-the O-right O-brand O-of O-self X-- X-right X-##eous X-##ness O-and O-pat X-##riot X-##ism O-; O-Jeff O-Weiss O-is O-fire O-, O-br X-##ims X-##tone O-and O-tear X-##y X-- X-eyed O-emotional X-##ism O-as O-the O-far X-- X-right O-senator O-who O-serves O-as O-a O-friendly O-inter X-##rog X-##ator O-of O-Major O-Battle O-; O-Zach O-G X-##ren X-##ier O-is O-mad X-##den X-##ingly O-off X-##icious O-playing O-a O-succession O-of O-lawyers O-; O-Joseph O-Daly O-has O-the O-perfect O-"" B-UH-a X-##w O-, B-UH-s X-##hu X-##cks O-"" O-demeanor O-of O-George O-Bush O-in O-his O-portrayal O-of O-the O-vice O-president O-; O-and O-Ann O-M X-##c X-##D X-##ono X-##ugh O-is O-first X-- X-rate O-as O-a O-succession O-of O-witnesses X-' O-wives O-."
"George Bush's continued support of the tax dam sustains this strategy of pressuring Congress to make choices among competing priorities, rather than just saying yes to all the grateful special-interest constituencies that fill the PAC trough.","O-George O-Bush O-' X-s O-continued O-support O-of O-the O-tax O-dam O-sustain X-##s O-this O-strategy O-of O-press X-##uring O-Congress O-to O-make O-choices O-among O-competing O-priorities O-, O-rather O-than O-just O-saying B-UH-yes O-to O-all O-the O-grateful O-special X-- X-interest O-constituencies O-that O-fill O-the O-PA X-##C O-t X-##rough O-."
"""They're out there promoting like crazy, trying to get prices up by promotion,"" said Roy Burry, an analyst with Kidder, Peabody & Co.","O-"" O-They O-' X-re O-out O-there O-promoting B-UH-like O-crazy O-, O-trying O-to O-get O-prices O-up O-by O-promotion O-, X-"" O-said O-Roy O-Burr X-##y O-, O-an O-analyst O-with O-Kid X-##der O-, O-Peabody O-& O-Co O-."
Hooker.,B-UH-Hooker O-.
Hooker.,B-UH-Hooker O-.
"No, we are not overreacting.","B-UH-No O-, O-we O-are O-not O-over X-##rea X-##cting O-."
"That country recently bought 200,000 tons of sugar and had been expected to seek a like quantity last week but didn't.","O-That O-country O-recently O-bought O-200 X-, X-000 O-tons O-of O-sugar O-and O-had O-been O-expected O-to O-seek O-a B-UH-like O-quantity O-last O-week O-but O-did O-n X-' X-t O-."
The benchmark No.,O-The O-bench X-##mark B-UH-No O-.
"Before, callers of 900 numbers would just listen and not talk, or they'd vote ""yes"" or ""no"" by calling one of two numbers.","O-Before O-, O-caller X-##s O-of O-900 O-numbers O-would O-just O-listen O-and O-not O-talk O-, O-or O-they O-' X-d O-vote O-"" B-UH-yes O-"" O-or O-"" B-UH-no O-"" O-by O-calling O-one O-of O-two O-numbers O-."
"""A menu by phone could let you decide, `I'm interested in just the beginning of story No.","O-"" O-A O-menu O-by O-phone O-could O-let O-you O-decide O-, O-` O-I O-' X-m O-interested O-in O-just O-the O-beginning O-of O-story B-UH-No O-."
"1, and I want story No.","O-1 O-, O-and O-I O-want O-story B-UH-No O-."
"The answer, say academic researchers, money managers and investment specialists, is yes -- as long as you approach the stock market as an investor.","O-The O-answer O-, O-say O-academic O-researchers O-, O-money O-managers O-and O-investment O-specialists O-, O-is B-UH-yes O-- X-- O-as O-long O-as O-you O-approach O-the O-stock O-market O-as O-an O-investor O-."
The Wilbur translation is remarkable -- well worth a read and even better seen in the theater if you ever have the opportunity.,O-The O-W X-##il X-##bur O-translation O-is O-remarkable O-- X-- B-UH-well O-worth O-a O-read O-and O-even O-better O-seen O-in O-the O-theater O-if O-you O-ever O-have O-the O-opportunity O-.
"Well, apple growers were hurt and many others were needlessly frightened by this news story.","B-UH-Well O-, O-apple O-grow X-##ers O-were O-hurt O-and O-many O-others O-were O-needles X-##s X-##ly O-frightened O-by O-this O-news O-story O-."
